Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/14/2021,12/14/2021,Payment Thank You-Mobile,,Payment,304.98,
12/04/2021,12/05/2021,PAYPAL *NIKE.COM,Shopping,Return,116.73,
11/30/2021,12/01/2021,KAISER 02090116,Health & Wellness,Sale,-35.00,
11/27/2021,11/29/2021,PAYPAL *TICKETMASTE TI,Entertainment,Sale,-196.55,
11/27/2021,11/29/2021,PAYPAL *NIKE.COM,Shopping,Sale,-176.41,
11/23/2021,11/24/2021,KING PIN DONUT,Food & Drink,Sale,-2.75,
11/23/2021,11/24/2021,KING PIN DONUT,Food & Drink,Sale,-7.25,
11/22/2021,11/24/2021,PAPPYS GRILL AND SPORT,Food & Drink,Sale,-12.03,
11/17/2021,11/19/2021,BLAZE PIZZA - 1365 - L,Food & Drink,Sale,-11.63,
11/16/2021,11/18/2021,YOGURT PARK,Food & Drink,Sale,-4.70,
10/19/2021,10/20/2021,PAYPAL *NIKE.COM,Shopping,Return,90.76,
10/17/2021,10/19/2021,PAYPAL *SURLATABLE,Home,Sale,-66.15,
10/18/2021,10/18/2021,Payment Thank You-Mobile,,Payment,337.71,
10/09/2021,10/11/2021,PAYPAL *NIKE.COM,Shopping,Sale,-30.03,
10/05/2021,10/07/2021,PAYPAL *NIKE.COM,Shopping,Sale,-307.68,
09/13/2021,09/13/2021,Payment Thank You-Mobile,,Payment,27.97,
09/10/2021,09/12/2021,SNACKPASS* POKE BAR,Food & Drink,Sale,-12.07,
09/10/2021,09/12/2021,SNACKPASS* POKE BAR,Food & Drink,Sale,-12.07,
09/08/2021,09/09/2021,SNACKPASS* ABES PIZZA,Food & Drink,Sale,-3.83,
09/03/2021,09/03/2021,Payment Thank You-Mobile,,Payment,38.62,
08/28/2021,08/30/2021,SNACKPASS* POKE BAR,Food & Drink,Sale,-10.86,
08/29/2021,08/30/2021,SNACKPASS* ABES PIZZA,Food & Drink,Sale,-1.35,
08/29/2021,08/30/2021,SNACKPASS* ABES PIZZA,Food & Drink,Sale,-10.98,
08/24/2021,08/24/2021,SNACKPASS* SENIORES PI,Food & Drink,Sale,-3.96,
08/18/2021,08/19/2021,SNACKPASS* IBS BERKELE,Food & Drink,Sale,-11.47,
08/13/2021,08/15/2021,Payment Thank You-Mobile,,Payment,46.66,
07/31/2021,08/02/2021,SNACKPASS* RICEFUL,Food & Drink,Sale,-46.66,
06/23/2021,06/23/2021,Payment Thank You-Mobile,,Payment,8.25,
06/13/2021,06/14/2021,MTA*NYCT PAYGO,Travel,Sale,-2.75,
06/13/2021,06/14/2021,MTA*NYCT PAYGO,Travel,Sale,-2.75,
06/13/2021,06/14/2021,MTA*NYCT PAYGO,Travel,Sale,-2.75,
06/11/2021,06/11/2021,Payment Thank You-Mobile,,Payment,33.08,
06/09/2021,06/10/2021,SQ *GIOIA PIZZERIA,Food & Drink,Sale,-9.29,
06/09/2021,06/10/2021,SQ *HIGHWIRE COFFEE RO,Groceries,Sale,-8.75,
06/09/2021,06/09/2021,Amazon.com,Shopping,Return,222.88,
06/06/2021,06/07/2021,SQ *EL GARAGE,Food & Drink,Sale,-36.05,
06/04/2021,06/06/2021,TRADER JOE'S #108  QPS,Groceries,Sale,-21.53,
06/01/2021,06/03/2021,NEW INDIA SUPERMARKET,Groceries,Sale,-12.17,
05/30/2021,05/31/2021,SQ *GURU CURRY HOUSE,Food & Drink,Sale,-47.46,
05/23/2021,05/24/2021,RECREATION.GOV,Bills & Utilities,Sale,-41.44,
05/22/2021,05/24/2021,TST* FIRE WINGS - BERK,Food & Drink,Sale,-32.32,
05/22/2021,05/24/2021,SQ *ISLICE,Food & Drink,Sale,-5.21,
05/19/2021,05/21/2021,MCDONALD'S 4372,Food & Drink,Sale,-8.71,
05/19/2021,05/21/2021,SHELL OIL 57444480701,Gas,Sale,-12.11,
05/20/2021,05/20/2021,Payment Thank You-Mobile,,Payment,636.08,
05/18/2021,05/20/2021,MCDONALD'S F776,Food & Drink,Sale,-20.92,
05/17/2021,05/18/2021,RECREATION.GOV,Bills & Utilities,Sale,-66.00,
05/17/2021,05/18/2021,SNACKPASS* SWEETHEART,Food & Drink,Sale,-28.06,
05/16/2021,05/17/2021,SQ *TACO TRUCK 23,Food & Drink,Sale,-5.50,
05/14/2021,05/17/2021,JONG GA HOUSE.,Food & Drink,Sale,-72.00,
05/14/2021,05/17/2021,SHELL OIL 57444480701,Gas,Sale,-15.04,
05/14/2021,05/16/2021,HAPPY LEMON BERKELEY,Groceries,Sale,-5.00,
05/14/2021,05/16/2021,AMZN Mktp US*2L4RF96U0,Shopping,Sale,-19.58,
05/13/2021,05/14/2021,MOMO HOUSE INC,Food & Drink,Sale,-10.91,
05/13/2021,05/14/2021,MOMO HOUSE INC,Food & Drink,Sale,-31.63,
05/11/2021,05/12/2021,Amazon.com*2L11Y5AR2,Shopping,Sale,-276.72,
05/05/2021,05/07/2021,WINGSTOP #477 EL CERRI,Food & Drink,Sale,-16.74,
05/06/2021,05/07/2021,NEPALESE GIFT &amp; SMOKE,Shopping,Sale,-2.00,
05/06/2021,05/07/2021,EL BURRO PICANTE,Food & Drink,Sale,-14.75,
05/06/2021,05/07/2021,CREAM,Food & Drink,Sale,-5.49,
05/03/2021,05/04/2021,SJSU EMARKET,Education,Sale,-50.00,
04/29/2021,05/02/2021,MCDONALD'S 4372,Food & Drink,Sale,-16.66,
04/29/2021,04/30/2021,Payment Thank You-Mobile,,Payment,91.35,
04/23/2021,04/26/2021,MCDONALD'S 4372,Food & Drink,Sale,-16.66,
04/23/2021,04/23/2021,FANDANGO,Entertainment,Sale,-29.58,
04/22/2021,04/23/2021,TST* FIRE WINGS - BERK,Food & Drink,Sale,-16.16,
04/21/2021,04/22/2021,RESTAURANT SP,Food & Drink,Sale,-20.48,
04/21/2021,04/22/2021,SNACKPASS* CINNAHOLIC,Food & Drink,Sale,-8.47,
