Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/03/2022,08/05/2022,SNTATERESACAFE,Food & Drink,Sale,-3.68,
08/02/2022,08/04/2022,CHICK-FIL-A #03229,Food & Drink,Sale,-14.62,
08/02/2022,08/04/2022,SANTI THAI FUSION,Food & Drink,Sale,-16.35,
08/02/2022,08/03/2022,7-ELEVEN 15440,Gas,Sale,-3.18,
08/01/2022,08/03/2022,THE HALAL GUYS BERKLEY,Food & Drink,Sale,-16.53,
08/01/2022,08/02/2022,COSTCO GAS #0482,Gas,Sale,-45.85,
07/31/2022,07/31/2022,Payment Thank You - Web,,Payment,405.65,
07/29/2022,07/31/2022,7-ELEVEN 15440,Gas,Sale,-1.94,
07/30/2022,07/31/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-32.61,
07/28/2022,07/29/2022,IN N OUT BURGER 342,Food & Drink,Sale,-11.98,
07/27/2022,07/29/2022,SNTATERESACAFE,Food & Drink,Sale,-5.38,
07/26/2022,07/27/2022,PANDA EXPRESS #1613,Food & Drink,Sale,-10.00,
07/25/2022,07/26/2022,COSTCO GAS #0482,Gas,Sale,-51.42,
07/23/2022,07/25/2022,THE HALAL GUYS BERKLEY,Food & Drink,Sale,-16.53,
07/24/2022,07/25/2022,SQ *KYOTO,Food & Drink,Sale,-56.45,
07/22/2022,07/24/2022,KAISER 02090116,Health & Wellness,Sale,-35.00,
07/23/2022,07/24/2022,OORI RICE * OORI RICE,Food & Drink,Sale,-14.25,
07/22/2022,07/24/2022,PIZZA MY HEART,Food & Drink,Sale,-21.33,
07/22/2022,07/24/2022,BURGER KING #2055,Food & Drink,Sale,-4.62,
07/21/2022,07/24/2022,SNTATERESACAFE,Food & Drink,Sale,-10.21,
07/20/2022,07/22/2022,FIVE GUYS CA 1103 QSR,Food & Drink,Sale,-18.03,
07/20/2022,07/22/2022,KRISPY KREME #7630,Food & Drink,Sale,-2.09,
07/19/2022,07/21/2022,CHICK-FIL-A #03229,Food & Drink,Sale,-15.06,
07/19/2022,07/21/2022,SNTATERESACAFE,Food & Drink,Sale,-13.94,
07/20/2022,07/20/2022,Payment Thank You-Mobile,,Payment,450.00,
07/18/2022,07/20/2022,PAR*MARUGAME UDON - BERKE,Food & Drink,Sale,-11.09,
07/18/2022,07/19/2022,COSTCO GAS #0482,Gas,Sale,-56.21,
07/18/2022,07/19/2022,Subway 5440,Food & Drink,Sale,-14.60,
07/16/2022,07/18/2022,MENCHIE`S - MEN186,Food & Drink,Sale,-21.29,
